user_count,idea_count,comment_count,date
11,6,1,2022-04-15T23:32:10.571+00:00
20,10,8,2022-04-16T23:31:09.189+00:00
29,20,18,2022-04-17T23:31:52.688+00:00
40,30,50,2022-04-18T23:28:20.364+00:00
48,33,76,2022-04-19T23:29:00.586+00:00
89,52,104,2022-04-20T23:32:48.897+00:00
103,70,141,2022-04-21T23:29:49.502+00:00
121,83,152,2022-04-22T23:32:23.883+00:00
132,102,204,2022-04-23T23:32:09.664+00:00
141,120,236,2022-04-24T23:31:41.167+00:00
147,131,263,2022-04-25T23:33:52.234+00:00
151,142,317,2022-04-26T23:33:04.612+00:00
162,154,367,2022-04-27T23:36:49.078+00:00
171,163,395,2022-04-28T23:33:08.186+00:00
175,165,412,2022-04-29T23:32:46.363+00:00
178,170,443,2022-04-30T23:31:44.146+00:00
181,175,497,2022-05-01T23:32:09.498+00:00
186,181,578,2022-05-02T23:33:45.337+00:00
193,192,622,2022-05-03T23:31:40.258+00:00
199,205,680,2022-05-04T23:33:34.413+00:00
202,217,799,2022-05-05T23:33:31.666+00:00
203,217,800,2022-05-06T23:32:57.026+00:00
205,217,800,2022-05-07T23:32:24.796+00:00
208,217,800,2022-05-08T23:32:28.302+00:00
208,217,800,2022-05-09T23:33:19.002+00:00
211,217,800,2022-05-10T23:34:52.492+00:00
